,weight,height,BMI
count,19421.0,19369.0,19369.0
mean,188.15220637454303,72.38742320202385,25.202791057544392
std,22.491843215337394,2.6105936310275637,2.1902663638247106
min,65.0,43.0,17.72070588879678
25%,172.0,71.0,23.734003872328735
50%,185.0,72.0,25.03624108782184
75%,200.0,74.0,26.44646145773773
max,320.0,83.0,39.74899161859423
