,key_mlbam,key_fangraphs,birthYear,deathYear,weight,height,BMI
count,20506.0,20506.0,19411.0,9192.0,19421.0,19369.0,19369.0
mean,215217.725251146,709241.7503169804,1938.291381175622,1970.4645343777197,188.15220637454303,72.38742320202385,25.202791057544392
std,181299.53969286886,457390.8109516163,41.76385365148063,31.941036891275463,22.491843215337394,2.6105936310275637,2.1902663638247106
min,-1.0,-1.0,1835.0,1874.0,65.0,43.0,17.72070588879678
25%,114905.25,15572.5,1901.0,1949.0,172.0,71.0,23.734003872328735
50%,120053.5,1004159.5,1946.0,1972.0,185.0,72.0,25.03624108782184
75%,150365.75,1009308.75,1976.0,1996.0,200.0,74.0,26.44646145773773
max,693821.0,1014471.0,2001.0,2022.0,320.0,83.0,39.74899161859423
