,Huskies Height,Height MLB,weight,Weight MLB,Huskies KG,MLB KG,Huskies M,MLB M,BMI Huskies,BMI MLB,Huskies WAR,MLB WAR,,,weight,Weight MLB
count,26,19369,26,19421,,,,,26,#REF!,26,6549,,count,26,19421
mean,69.57692308,72.3874232,233.3076923,188.1522064,105.8283692,85.34584081,1.767253846,1.838640549,34.2996583,#REF!,1.376923077,0.014764086,,mean,233.3076923,188.1522064
