,INCHES,WEIGHT,BMI
count,19922.0,19840.0,19840
mean,11.930880433691396,186.18009072580645,
std,514.4694554904273,20.84983301764277,
min,3.0,65.0,
25%,5.0,170.0,21.4942201087558
50%,6.0,185.0,23.689866248897527
75%,6.0,200.0,27.457132784088053
max,44327.0,351.0,
